Classifier,Algorithm,Dense Input Required,SVD Components,GPU Required,k-Fold,Learning Rate,Epochs,Optimizer,Regularization,Activation,Random Seed,Parameters
LR,TorchMLPClassifier,True,Not used,True,10,N/A,1000,liblinear,1.0,sigmoid,N/A,"{'hidden_layer_sizes': (), 'alpha': 0.0001, 'max_iter': 500, 'batch_size': 2048, 'learning_rate': 0.01, 'momentum': 0.9, 'optimizer': 'adam', 'activation': 'sigmoid', 'early_stopping': True, 'n_iter_no_change': 10, 'verbose': False, 'random_state': 42, 'prefer_gpu': True, 'require_gpu': True}"
RF,TorchMLPClassifier,True,Not used,True,10,N/A,No,N/A,100.0,None,42,"{'hidden_layer_sizes': (384, 192, 64), 'alpha': 0.0001, 'max_iter': 300, 'batch_size': 2048, 'learning_rate': 0.001, 'momentum': 0.9, 'optimizer': 'adam', 'activation': 'relu', 'early_stopping': True, 'n_iter_no_change': 10, 'verbose': False, 'random_state': 42, 'prefer_gpu': True, 'require_gpu': True}"
GB,TorchMLPClassifier,True,Not used,True,10,0.1,Not set,GD,100.0,None,42,"{'hidden_layer_sizes': (256, 128, 64), 'alpha': 0.0002, 'max_iter': 300, 'batch_size': 2048, 'learning_rate': 0.0015, 'momentum': 0.9, 'optimizer': 'adam', 'activation': 'relu', 'early_stopping': True, 'n_iter_no_change': 10, 'verbose': False, 'random_state': 42, 'prefer_gpu': True, 'require_gpu': True}"
MLP,TorchMLPClassifier,True,Not used,True,10,0.001,2000,Adam,0.0001,ReLU,42,"{'hidden_layer_sizes': (256, 128), 'alpha': 0.0001, 'max_iter': 2000, 'batch_size': 2048, 'learning_rate': 0.001, 'momentum': 0.9, 'optimizer': 'adam', 'activation': 'relu', 'early_stopping': True, 'n_iter_no_change': 10, 'verbose': False, 'random_state': 42, 'prefer_gpu': True, 'require_gpu': True}"
DT,TorchMLPClassifier,True,Not used,True,10,N/A,Not set,N/A,1.0,None,42,"{'hidden_layer_sizes': (192, 96), 'alpha': 0.0001, 'max_iter': 250, 'batch_size': 2048, 'learning_rate': 0.001, 'momentum': 0.9, 'optimizer': 'adam', 'activation': 'relu', 'early_stopping': True, 'n_iter_no_change': 10, 'verbose': False, 'random_state': 42, 'prefer_gpu': True, 'require_gpu': True}"
K-NN,TorchMLPClassifier,True,Not used,True,10,N/A,Not set,N/A,5.0,None,N/A,"{'hidden_layer_sizes': (160, 80), 'alpha': 0.0001, 'max_iter': 250, 'batch_size': 2048, 'learning_rate': 0.001, 'momentum': 0.9, 'optimizer': 'adam', 'activation': 'relu', 'early_stopping': True, 'n_iter_no_change': 10, 'verbose': False, 'random_state': 42, 'prefer_gpu': True, 'require_gpu': True}"
NB,TorchMLPClassifier,True,Not used,True,10,N/A,Not set,N/A,1e-09,None,N/A,"{'hidden_layer_sizes': (), 'alpha': 1e-09, 'max_iter': 50, 'batch_size': 2048, 'learning_rate': 0.1, 'momentum': 0.8, 'optimizer': 'sgd', 'activation': 'none', 'early_stopping': True, 'n_iter_no_change': 10, 'verbose': False, 'random_state': None, 'prefer_gpu': True, 'require_gpu': True}"
